,,0,1
SSU72,cnv_amp,SSU72,cnv_amp
FGL2,mut_important,FGL2,mut_important
FGL2,cnv_del,FGL2,cnv_del
FGL2,cnv_amp,FGL2,cnv_amp
HOXC8,mut_important,HOXC8,mut_important
HOXC8,cnv_del,HOXC8,cnv_del
HOXC8,cnv_amp,HOXC8,cnv_amp
TRIM2,mut_important,TRIM2,mut_important
TRIM2,cnv_del,TRIM2,cnv_del
TRIM2,cnv_amp,TRIM2,cnv_amp
MET,mut_important,MET,mut_important
MET,cnv_del,MET,cnv_del
MET,cnv_amp,MET,cnv_amp
SENP2,mut_important,SENP2,mut_important
SENP2,cnv_del,SENP2,cnv_del
SENP2,cnv_amp,SENP2,cnv_amp
VPREB1,mut_important,VPREB1,mut_important
VPREB1,cnv_del,VPREB1,cnv_del
VPREB1,cnv_amp,VPREB1,cnv_amp
OR8B2,mut_important,OR8B2,mut_important
OR8B2,cnv_del,OR8B2,cnv_del
OR8B2,cnv_amp,OR8B2,cnv_amp
ADAM19,mut_important,ADAM19,mut_important
ADAM19,cnv_del,ADAM19,cnv_del
ADAM19,cnv_amp,ADAM19,cnv_amp
QRICH2,mut_important,QRICH2,mut_important
QRICH2,cnv_del,QRICH2,cnv_del
QRICH2,cnv_amp,QRICH2,cnv_amp
GNL3,mut_important,GNL3,mut_important
GNL3,cnv_del,GNL3,cnv_del
GNL3,cnv_amp,GNL3,cnv_amp
PUS7,mut_important,PUS7,mut_important
PUS7,cnv_del,PUS7,cnv_del
PUS7,cnv_amp,PUS7,cnv_amp
POLR3F,mut_important,POLR3F,mut_important
POLR3F,cnv_del,POLR3F,cnv_del
POLR3F,cnv_amp,POLR3F,cnv_amp
LRRC29,mut_important,LRRC29,mut_important
LRRC29,cnv_del,LRRC29,cnv_del
LRRC29,cnv_amp,LRRC29,cnv_amp
EHF,mut_important,EHF,mut_important
EHF,cnv_del,EHF,cnv_del
EHF,cnv_amp,EHF,cnv_amp
TCP10,mut_important,TCP10,mut_important
TCP10,cnv_del,TCP10,cnv_del
